Kernel_ID,AF
AF_A1,2645.397
AF_A2,2.903911
AF_A3,6100.189
AF_A4,4.943678
AF_A5,4.322964
AF_A6,1.631657
AF_A7,69802.48
AF_A8,0.8911909
AF_B1,1.996995
AF_B2,1.423401
AF_B3,1.336846189
AF_B4,1.336846189
AF_B5,1.336846189
AF_B6,11.43488
AF_B7,4.098272
AF_B8,1.511475
AF_C1,3.061072
AF_C2,25094.74
AF_C3,1.728616
AF_C4,50835.25
AF_C5,1.624588
AF_C6,1.200696
AF_C7,2.677866
AF_C8,5.101022
AF_D1,2.079808
AF_D2,7.21596
AF_D3,0.6218555
AF_D4,0.4412458
AF_D5,11510.14
AF_D6,2.161599
AF_D7,0.4594001
AF_D8,0.06699862
AF_E1,2.861075117
AF_E2,0.2869214
AF_E3,11144.93
AF_E4,55004.58
AF_E5,2.861075117
AF_E6,2.850612
AF_E7,1.029919
AF_E8,0.1894249
AF_F1,1.760655
AF_F2,0.07193684
AF_F3,0.03603841
AF_F4,2.861075117
AF_F5,0.2017785
AF_F6,0.3357307
AF_F7,2.32381
AF_F8,0.8490134
C_A1,1.297095
C_A2,0.3219829
C_A3,1.278252
C_A4,1.731398
C_A5,0.8367051
C_A6,2.01793
C_A7,2.424813
C_A8,3.893974
C_B1,0.1944003
C_B2,1.336846189
C_B3,2.191481
C_B4,1.336846189
C_B5,1.668139
C_B6,2.641734
C_B7,0.0616635
C_B8,0.1153094
C_C1,1.094987
C_C2,1.33204
C_C3,0.883321
C_C4,1.336846189
C_C5,1.336846189
C_C6,3.323559
C_C7,1.336846189
C_C8,1.336846189
C_D1,0.5193939
C_D2,0.2447374
C_D3,1.007285
C_D4,0.1153094
C_D5,4.098272
C_D6,1.30341
C_D7,1.361024
C_D8,0.4358496
C_E1,1.262666
C_E2,1.727633
C_E3,0.9498073
C_E4,1.284516
C_E5,0.6459845
C_E6,3.317076
C_E7,1.504585
C_E8,7.261305
C_F1,0.6980023
C_F2,2.277897
C_F3,1.963836
C_F4,1.487445
C_F5,0.4358496
C_F6,3.10998
C_F7,1.13282
C_F8,1.336846189
A1-1,9906.239401
A1-10,2.811449304
A1-11,1.551475714
A1-12,3.292371914
A1-13,1.126053884
A1-14,1.847652102
A1-15,4703.486162
A1-16,4143.998237
A1-17,23068.85872
A1-18,18213.15409
A1-19,13356.43541
A1-2,1.15841353
A1-20,10668.88301
A1-21,35840.0505
A1-22,4.491123021
A1-23,17341.43625
A1-24,13428.31595
A1-25,47023.32647
A1-26,24013.95602
A1-27,25208.69929
A1-28,9229.092227
A1-29,11001.00775
A1-3,6931.950387
A1-30,18585.83948
A1-31,24776.46856
A1-32,28940.35079
A1-33,8280.922859
A1-34,17245.49336
A1-35,25738.00537
