Spec_ID,Kernel_ID
Af1_000001.dat,A1-1
Af1_000002.dat,A1-2
Af1_000003.dat,A1-3
Af1_000004.dat,A1-4
Af1_000005.dat,A1-5
Af1_000006.dat,A1-6
Af1_000007.dat,A1-7
Af1_000008.dat,A1-8
Af1_000009.dat,A1-9
Af1_000010.dat,A1-10
Af1_000011.dat,A1-11
Af1_000012.dat,A1-12
Af1_000013.dat,A1-13
Af1_000014.dat,A1-14
Af1_000015.dat,A1-15
Af1_000016.dat,A1-16
Af1_000017.dat,A1-17
Af1_000018.dat,A1-18
Af1_000019.dat,A1-19
Af1_000020.dat,A1-20
Af1_000021.dat,A1-21
Af1_000022.dat,A1-22
Af1_000023.dat,A1-23
Af1_000024.dat,A1-24
Af1_000025.dat,A1-25
Af1_000026.dat,A1-26
Af1_000027.dat,A1-27
Af1_000028.dat,A1-28
Af1_000029.dat,A1-29
Af1_000030.dat,A1-30
Af1_000031.dat,A1-31
Af1_000032.dat,A1-32
Af1_000033.dat,A1-33
Af1_000034.dat,A1-34
Af1_000035.dat,A1-35
Af1_000036.dat,A1-36
Af1_000037.dat,A1-37
Af1_000038.dat,A1-38
Af1_000039.dat,A1-39
Af1_000040.dat,A1-40
Af1_000041.dat,A1-41
Af1_000042.dat,A1-42
Af1_000043.dat,A1-43
Af1_000044.dat,A1-44
Af1_000045.dat,A1-45
Af1_000046.dat,A1-46
Af1_000047.dat,A1-47
Af1_000048.dat,A1-48
Af2_000001.dat,A2-1
Af2_000002.dat,A2-2
Af2_000003.dat,A2-3
Af2_000004.dat,A2-4
Af2_000005.dat,A2-5
Af2_000006.dat,A2-6
Af2_000007.dat,A2-7
Af2_000008.dat,A2-8
Af2_000009.dat,A2-9
Af2_000010.dat,A2-10
Af2_000011.dat,A2-11
Af2_000012.dat,A2-12
Af2_000013.dat,A2-13
Af2_000014.dat,A2-14
Af2_000015.dat,A2-15
Af2_000016.dat,A2-16
Af2_000017.dat,A2-17
Af2_000018.dat,A2-18
Af2_000019.dat,A2-19
Af2_000020.dat,A2-20
Af2_000021.dat,A2-21
Af2_000022.dat,A2-22
Af2_000023.dat,A2-23
Af2_000024.dat,A2-24
Af2_000025.dat,A2-25
Af2_000026.dat,A2-26
Af2_000027.dat,A2-27
Af2_000028.dat,A2-28
Af2_000029.dat,A2-29
Af2_000030.dat,A2-30
Af2_000031.dat,A2-31
Af2_000032.dat,A2-32
Af2_000033.dat,A2-33
Af2_000034.dat,A2-34
Af2_000035.dat,A2-35
Af2_000036.dat,A2-36
Af2_000037.dat,A2-37
Af2_000038.dat,A2-38
Af2_000039.dat,A2-39
Af2_000040.dat,A2-40
Af2_000041.dat,A2-41
Af2_000042.dat,A2-42
Af2_000043.dat,A2-43
Af2_000044.dat,A2-44
Af2_000045.dat,A2-45
Af2_000046.dat,A2-46
Af2_000047.dat,A2-47
Af2_000048.dat,A2-48
Af3_000001.dat,A3-1
Af3_000002.dat,A3-2
Af3_000003.dat,A3-3
Af3_000004.dat,A3-4
Af3_000005.dat,A3-5
Af3_000006.dat,A3-6
Af3_000007.dat,A3-7
Af3_000008.dat,A3-8
Af3_000009.dat,A3-9
Af3_000010.dat,A3-10
Af3_000011.dat,A3-11
Af3_000012.dat,A3-12
Af3_000013.dat,A3-13
Af3_000014.dat,A3-14
Af3_000015.dat,A3-15
Af3_000016.dat,A3-16
Af3_000017.dat,A3-17
Af3_000018.dat,A3-18
Af3_000019.dat,A3-19
Af3_000020.dat,A3-20
Af3_000021.dat,A3-21
Af3_000022.dat,A3-22
Af3_000023.dat,A3-23
Af3_000024.dat,A3-24
Af3_000025.dat,A3-25
Af3_000026.dat,A3-26
Af3_000027.dat,A3-27
Af3_000028.dat,A3-28
Af3_000029.dat,A3-29
Af3_000030.dat,A3-30
Af3_000031.dat,A3-31
Af3_000032.dat,A3-32
Af3_000033.dat,A3-33
Af3_000034.dat,A3-34
Af3_000035.dat,A3-35
Af3_000036.dat,A3-36
